,home_team,away_team,time_day
0,BATE Borisov,Lille,"Jnne, 20-Nov-12"
1,Spartak Moscow,Barcelona,"Jnne, 20-Nov-12"
2,Benfica,Celtic,"Jnne, 20-Nov-12"
3,Galatasaray,Manchester United,"Jnne, 20-Nov-12"
4,CFR Cluj,Braga,"Jnne, 20-Nov-12"
5,Valencia,Bayern Munich,"Jnne, 20-Nov-12"
6,FC Nordsjaelland,Shakhtar Donetsk,"Jnne, 20-Nov-12"
7,Juventus,Chelsea,"Jnne, 20-Nov-12"
8,Zenit St. Petersburg,Malaga,"Jtan, 21-Nov-12"
9,Anderlecht,AC Milan,"Jtan, 21-Nov-12"
10,Ajax,Borussia Dortmund,"Jtan, 21-Nov-12"
11,Manchester City,Real Madrid,"Jtan, 21-Nov-12"
12,FC Porto,Dinamo Zagreb,"Jtan, 21-Nov-12"
13,Dynamo Kyiv,Paris Saint-Germain,"Jtan, 21-Nov-12"
14,Arsenal,Montpellier,"Jtan, 21-Nov-12"
15,Schalke 04,Olympiacos,"Jtan, 21-Nov-12"
16,Dynamo Kyiv,FC Porto,"Jnne, 06-Nov-12"
17,Paris Saint-Germain,Dinamo Zagreb,"Jnne, 06-Nov-12"
18,Schalke 04,Arsenal,"Jnne, 06-Nov-12"
19,Olympiacos,Montpellier,"Jnne, 06-Nov-12"
20,Anderlecht,Zenit St. Petersburg,"Jnne, 06-Nov-12"
21,AC Milan,Malaga,"Jnne, 06-Nov-12"
22,Manchester City,Ajax,"Jnne, 06-Nov-12"
23,Real Madrid,Borussia Dortmund,"Jnne, 06-Nov-12"
24,Juventus,FC Nordsjaelland,"Jtan, 07-Nov-12"
25,Chelsea,Shakhtar Donetsk,"Jtan, 07-Nov-12"
26,Valencia,BATE Borisov,"Jtan, 07-Nov-12"
27,Bayern Munich,Lille,"Jtan, 07-Nov-12"
28,Benfica,Spartak Moscow,"Jtan, 07-Nov-12"
29,Celtic,Barcelona,"Jtan, 07-Nov-12"
30,CFR Cluj,Galatasaray,"Jtan, 07-Nov-12"
31,Braga,Manchester United,"Jtan, 07-Nov-12"
32,Spartak Moscow,Benfica,"Jnne, 23-Okt-12"
33,Barcelona,Celtic,"Jnne, 23-Okt-12"
34,Galatasaray,CFR Cluj,"Jnne, 23-Okt-12"
35,Manchester United,Braga,"Jnne, 23-Okt-12"
36,FC Nordsjaelland,Juventus,"Jnne, 23-Okt-12"
37,Shakhtar Donetsk,Chelsea,"Jnne, 23-Okt-12"
38,BATE Borisov,Valencia,"Jnne, 23-Okt-12"
39,Lille,Bayern Munich,"Jnne, 23-Okt-12"
40,Zenit St. Petersburg,Anderlecht,"Jtan, 24-Okt-12"
41,Malaga,AC Milan,"Jtan, 24-Okt-12"
42,Ajax,Manchester City,"Jtan, 24-Okt-12"
43,Borussia Dortmund,Real Madrid,"Jtan, 24-Okt-12"
44,FC Porto,Dynamo Kyiv,"Jtan, 24-Okt-12"
45,Dinamo Zagreb,Paris Saint-Germain,"Jtan, 24-Okt-12"
46,Arsenal,Schalke 04,"Jtan, 24-Okt-12"
47,Montpellier,Olympiacos,"Jtan, 24-Okt-12"
48,Spartak Moscow,Celtic,"Jnne, 02-Okt-12"
49,CFR Cluj,Manchester United,"Jnne, 02-Okt-12"
50,Galatasaray,Braga,"Jnne, 02-Okt-12"
51,Juventus,Shakhtar Donetsk,"Jnne, 02-Okt-12"
52,FC Nordsjaelland,Chelsea,"Jnne, 02-Okt-12"
53,Valencia,Lille,"Jnne, 02-Okt-12"
54,BATE Borisov,Bayern Munich,"Jnne, 02-Okt-12"
55,Benfica,Barcelona,"Jnne, 02-Okt-12"
56,Zenit St. Petersburg,AC Milan,"Jtan, 03-Okt-12"
57,Manchester City,Borussia Dortmund,"Jtan, 03-Okt-12"
58,Ajax,Real Madrid,"Jtan, 03-Okt-12"
59,Dynamo Kyiv,Dinamo Zagreb,"Jtan, 03-Okt-12"
60,FC Porto,Paris Saint-Germain,"Jtan, 03-Okt-12"
61,Schalke 04,Montpellier,"Jtan, 03-Okt-12"
62,Arsenal,Olympiacos,"Jtan, 03-Okt-12"
63,Anderlecht,Malaga,"Jtan, 03-Okt-12"
64,Dinamo Zagreb,FC Porto,"Jnne, 18-Sep-12"
65,Paris Saint-Germain,Dynamo Kyiv,"Jnne, 18-Sep-12"
66,Montpellier,Arsenal,"Jnne, 18-Sep-12"
67,Olympiacos,Schalke 04,"Jnne, 18-Sep-12"
68,Malaga,Zenit St. Petersburg,"Jnne, 18-Sep-12"
69,AC Milan,Anderlecht,"Jnne, 18-Sep-12"
70,Borussia Dortmund,Ajax,"Jnne, 18-Sep-12"
71,Real Madrid,Manchester City,"Jnne, 18-Sep-12"
72,Shakhtar Donetsk,FC Nordsjaelland,"Jtan, 19-Sep-12"
73,Chelsea,Juventus,"Jtan, 19-Sep-12"
74,Lille,BATE Borisov,"Jtan, 19-Sep-12"
75,Bayern Munich,Valencia,"Jtan, 19-Sep-12"
76,Barcelona,Spartak Moscow,"Jtan, 19-Sep-12"
77,Celtic,Benfica,"Jtan, 19-Sep-12"
78,Manchester United,Galatasaray,"Jtan, 19-Sep-12"
79,Braga,CFR Cluj,"Jtan, 19-Sep-12"
80,Real Madrid,Borussia Dortmund,"Jnne, 30-Apr-13"
81,Barcelona,Bayern Munich,"Jtan, 01-Mei-13"
82,Bayern Munich,Barcelona,"Jnne, 23-Apr-13"
83,Borussia Dortmund,Real Madrid,"Jtan, 24-Apr-13"
84,Borussia Dortmund,Malaga,"Jnne, 09-Apr-13"
85,Galatasaray,Real Madrid,"Jnne, 09-Apr-13"
86,Barcelona,Paris Saint-Germain,"Jtan, 10-Apr-13"
87,Juventus,Bayern Munich,"Jtan, 10-Apr-13"
88,Paris Saint-Germain,Barcelona,"Jnne, 02-Apr-13"
89,Bayern Munich,Juventus,"Jnne, 02-Apr-13"
90,Malaga,Borussia Dortmund,"Jtan, 03-Apr-13"
91,Real Madrid,Galatasaray,"Jtan, 03-Apr-13"
92,Schalke 04,Galatasaray,"Jnne, 12-Mac-13"
93,Barcelona,AC Milan,"Jnne, 12-Mac-13"
94,Bayern Munich,Arsenal,"Jtan, 13-Mac-13"
95,Malaga,FC Porto,"Jtan, 13-Mac-13"
96,Manchester United,Real Madrid,"Jnne, 05-Mac-13"
97,Borussia Dortmund,Shakhtar Donetsk,"Jnne, 05-Mac-13"
98,Juventus,Celtic,"Jtan, 06-Mac-13"
99,Paris Saint-Germain,Valencia,"Jtan, 06-Mac-13"
100,Arsenal,Bayern Munich,"Jnne, 19-Feb-13"
101,FC Porto,Malaga,"Jnne, 19-Feb-13"
102,Galatasaray,Schalke 04,"Jtan, 20-Feb-13"
103,AC Milan,Barcelona,"Jtan, 20-Feb-13"
104,Celtic,Juventus,"Jnne, 12-Feb-13"
105,Valencia,Paris Saint-Germain,"Jnne, 12-Feb-13"
106,Shakhtar Donetsk,Borussia Dortmund,"Jtan, 13-Feb-13"
107,Real Madrid,Manchester United,"Jtan, 13-Feb-13"
